date, rr, since start
2021-01-11 06:31:10 +0000, 1034, 154044
2021-01-11 06:31:11 +0000, 1069, 155113
2021-01-11 06:31:12 +0000, 1173, 156286
2021-01-11 06:31:13 +0000, 1107, 157393
2021-01-11 06:31:14 +0000, 1036, 158429
2021-01-11 06:31:15 +0000, 1054, 159483
2021-01-11 06:31:16 +0000, 1142, 160625
2021-01-11 06:31:17 +0000, 1190, 161815
2021-01-11 06:31:18 +0000, 1099, 162914
2021-01-11 06:31:20 +0000, 1050, 163964
2021-01-11 06:31:21 +0000, 1099, 165063
2021-01-11 06:31:22 +0000, 1163, 166226
2021-01-11 06:31:23 +0000, 1145, 167371
2021-01-11 06:31:25 +0000, 1086, 168457
2021-01-11 06:31:25 +0000, 1037, 169494
2021-01-11 06:31:26 +0000, 1052, 170546
2021-01-11 06:31:27 +0000, 1121, 171667
2021-01-11 06:31:28 +0000, 1160, 172827
2021-01-11 06:31:29 +0000, 1084, 173911
2021-01-11 06:31:30 +0000, 1061, 174972
2021-01-11 06:31:31 +0000, 1090, 176062
2021-01-11 06:31:32 +0000, 1134, 177196
2021-01-11 06:31:34 +0000, 1113, 178309
2021-01-11 06:31:35 +0000, 1041, 179350
2021-01-11 06:31:36 +0000, 1039, 180389
2021-01-11 06:31:37 +0000, 1096, 181485
2021-01-11 06:31:38 +0000, 1154, 182639
2021-01-11 06:31:39 +0000, 1085, 183724
2021-01-11 06:31:40 +0000, 1060, 184784
2021-01-11 06:31:41 +0000, 1098, 185882
2021-01-11 06:31:42 +0000, 1188, 187070
2021-01-11 06:31:43 +0000, 1185, 188255
2021-01-11 06:31:44 +0000, 1088, 189343
2021-01-11 06:31:45 +0000, 1054, 190397
2021-01-11 06:31:46 +0000, 1051, 191448
2021-01-11 06:31:47 +0000, 1089, 192537
2021-01-11 06:31:48 +0000, 1078, 193615
2021-01-11 06:31:49 +0000, 1037, 194652
2021-01-11 06:31:51 +0000, 1078, 195730
2021-01-11 06:31:52 +0000, 1183, 196913
2021-01-11 06:31:53 +0000, 1185, 198098
2021-01-11 06:31:54 +0000, 1087, 199185
2021-01-11 06:31:55 +0000, 1057, 200242
2021-01-11 06:31:56 +0000, 1108, 201350
2021-01-11 06:31:57 +0000, 1122, 202472
2021-01-11 06:31:58 +0000, 1063, 203535
2021-01-11 06:31:59 +0000, 1029, 204564
2021-01-11 06:32:00 +0000, 1100, 205664
2021-01-11 06:32:01 +0000, 1054, 206718
2021-01-11 06:32:02 +0000, 942, 207660
2021-01-11 06:32:03 +0000, 891, 208551
2021-01-11 06:32:04 +0000, 826, 209377
2021-01-11 06:32:05 +0000, 839, 210216
2021-01-11 06:32:06 +0000, 965, 211181
2021-01-11 06:32:07 +0000, 1024, 212205
2021-01-11 06:32:08 +0000, 1028, 213233
2021-01-11 06:32:09 +0000, 1022, 214255
2021-01-11 06:32:11 +0000, 987, 215242
2021-01-11 06:32:11 +0000, 914, 216156
2021-01-11 06:32:11 +0000, 812, 216968
2021-01-11 06:32:12 +0000, 762, 217730
2021-01-11 06:32:13 +0000, 764, 218494
2021-01-11 06:32:14 +0000, 778, 219272
2021-01-11 06:32:14 +0000, 874, 220146
2021-01-11 06:32:15 +0000, 980, 221126
2021-01-11 06:32:16 +0000, 1014, 222140
2021-01-11 06:32:17 +0000, 1018, 223158
2021-01-11 06:32:18 +0000, 993, 224151
2021-01-11 06:32:19 +0000, 986, 225137
2021-01-11 06:32:20 +0000, 933, 226070
2021-01-11 06:32:21 +0000, 867, 226937
2021-01-11 06:32:22 +0000, 805, 227742
2021-01-11 06:32:23 +0000, 788, 228530
2021-01-11 06:32:23 +0000, 840, 229370
2021-01-11 06:32:24 +0000, 1032, 230402
2021-01-11 06:32:25 +0000, 1090, 231492
2021-01-11 06:32:27 +0000, 1106, 232598
2021-01-11 06:32:28 +0000, 1079, 233677
2021-01-11 06:32:29 +0000, 1028, 234705
2021-01-11 06:32:30 +0000, 985, 235690
2021-01-11 06:32:30 +0000, 909, 236599
2021-01-11 06:32:31 +0000, 809, 237408
2021-01-11 06:32:32 +0000, 757, 238165
2021-01-11 06:32:33 +0000, 744, 238909
2021-01-11 06:32:33 +0000, 778, 239687
2021-01-11 06:32:34 +0000, 989, 240676
2021-01-11 06:32:35 +0000, 1087, 241763
2021-01-11 06:32:37 +0000, 1098, 242861
2021-01-11 06:32:38 +0000, 1118, 243979
2021-01-11 06:32:39 +0000, 1115, 245094
2021-01-11 06:32:40 +0000, 1092, 246186
2021-01-11 06:32:41 +0000, 1038, 247224
2021-01-11 06:32:42 +0000, 949, 248173
2021-01-11 06:32:43 +0000, 840, 249013
2021-01-11 06:32:43 +0000, 777, 249790
2021-01-11 06:32:44 +0000, 777, 250567
2021-01-11 06:32:45 +0000, 842, 251409
2021-01-11 06:32:46 +0000, 1035, 252444
2021-01-11 06:32:47 +0000, 1045, 253489
2021-01-11 06:32:48 +0000, 1042, 254531
2021-01-11 06:32:49 +0000, 1035, 255566
2021-01-11 06:32:50 +0000, 1014, 256580
2021-01-11 06:32:51 +0000, 914, 257494
2021-01-11 06:32:52 +0000, 826, 258320
2021-01-11 06:32:52 +0000, 758, 259078
2021-01-11 06:32:53 +0000, 746, 259824
2021-01-11 06:32:54 +0000, 803, 260627
2021-01-11 06:32:55 +0000, 1025, 261652
2021-01-11 06:32:57 +0000, 1074, 262726
2021-01-11 06:32:57 +0000, 1077, 263803
2021-01-11 06:32:58 +0000, 1057, 264860
2021-01-11 06:32:59 +0000, 1023, 265883
2021-01-11 06:33:00 +0000, 989, 266872
2021-01-11 06:33:01 +0000, 908, 267780
2021-01-11 06:33:02 +0000, 810, 268590
2021-01-11 06:33:02 +0000, 755, 269345
2021-01-11 06:33:03 +0000, 740, 270085
